Loaded 2 labels
Loaded 260 images
------------------------------------------------------------------------------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------------------------------------------------------------------------------
Epoch:55, Time:1153ms, TrainError:0.095893346, TrainErrorChange:-0.0243157, TrainAccuracy: 0.92692304
Epoch:56, Time:1114ms, TrainError:0.13410999, TrainErrorChange:0.038216643, TrainAccuracy: 0.91730773
Epoch:57, Time:1150ms, TrainError:0.08946148, TrainErrorChange:-0.044648506, TrainAccuracy: 0.92692304
Epoch:58, Time:1094ms, TrainError:0.1037752, TrainErrorChange:0.01431372, TrainAccuracy: 0.93653846
Epoch:59, Time:1103ms, TrainError:0.21458839, TrainErrorChange:0.110813186, TrainAccuracy: 0.9230769
Epoch:60, Time:1099ms, TrainError:0.123107865, TrainErrorChange:-0.09148052, TrainAccuracy: 0.9057692
Epoch:61, Time:1117ms, TrainError:0.102324866, TrainErrorChange:-0.020783, TrainAccuracy: 0.9326923
Epoch:62, Time:1113ms, TrainError:0.07532382, TrainErrorChange:-0.027001046, TrainAccuracy: 0.9288461
Epoch:63, Time:1134ms, TrainError:0.14048313, TrainErrorChange:0.065159306, TrainAccuracy: 0.91730773
Epoch:64, Time:1172ms, TrainError:0.12933491, TrainErrorChange:-0.011148214, TrainAccuracy: 0.7653846
Epoch:65, Time:1107ms, TrainError:0.12488008, TrainErrorChange:-0.004454829, TrainAccuracy: 0.92115384
Epoch:66, Time:1094ms, TrainError:0.08307858, TrainErrorChange:-0.041801505, TrainAccuracy: 0.9307692
Epoch:67, Time:1097ms, TrainError:0.106850795, TrainErrorChange:0.023772217, TrainAccuracy: 0.93653846
Epoch:68, Time:1094ms, TrainError:0.072843924, TrainErrorChange:-0.03400687, TrainAccuracy: 0.9307692
Epoch:69, Time:1109ms, TrainError:0.0806298, TrainErrorChange:0.007785879, TrainAccuracy: 0.9442308
Epoch:70, Time:1093ms, TrainError:0.087063126, TrainErrorChange:0.006433323, TrainAccuracy: 0.91730773
Epoch:71, Time:1094ms, TrainError:0.050641153, TrainErrorChange:-0.036421973, TrainAccuracy: 0.95
Epoch:72, Time:1096ms, TrainError:0.09496655, TrainErrorChange:0.0443254, TrainAccuracy: 0.9423077
Epoch:73, Time:1102ms, TrainError:0.11793589, TrainErrorChange:0.022969335, TrainAccuracy: 0.9403846
Epoch:74, Time:1182ms, TrainError:0.0802735, TrainErrorChange:-0.037662387, TrainAccuracy: 0.92115384
Epoch:75, Time:1104ms, TrainError:0.04879233, TrainErrorChange:-0.031481173, TrainAccuracy: 0.9346154
Epoch:76, Time:1112ms, TrainError:0.0628054, TrainErrorChange:0.014013071, TrainAccuracy: 0.82884616
Epoch:77, Time:1092ms, TrainError:0.14377263, TrainErrorChange:0.08096723, TrainAccuracy: 0.9326923
Epoch:78, Time:1154ms, TrainError:0.21474181, TrainErrorChange:0.07096918, TrainAccuracy: 0.925
Epoch:79, Time:1133ms, TrainError:0.074121535, TrainErrorChange:-0.14062028, TrainAccuracy: 0.925
Epoch:80, Time:1107ms, TrainError:0.051176947, TrainErrorChange:-0.022944588, TrainAccuracy: 0.9115385
Epoch:81, Time:1089ms, TrainError:0.14223687, TrainErrorChange:0.09105992, TrainAccuracy: 0.93846154
Epoch:82, Time:1092ms, TrainError:0.10067301, TrainErrorChange:-0.04156386, TrainAccuracy: 0.93846154
Epoch:83, Time:1109ms, TrainError:0.13396128, TrainErrorChange:0.033288263, TrainAccuracy: 0.9423077
Epoch:84, Time:1092ms, TrainError:0.091201566, TrainErrorChange:-0.04275971, TrainAccuracy: 0.9288461
Epoch:85, Time:1102ms, TrainError:0.09072467, TrainErrorChange:-4.7689676E-4, TrainAccuracy: 0.9423077
Epoch:86, Time:1107ms, TrainError:0.07640207, TrainErrorChange:-0.014322601, TrainAccuracy: 0.90384614
Epoch:87, Time:1118ms, TrainError:0.08825195, TrainErrorChange:0.01184988, TrainAccuracy: 0.9346154
Epoch:88, Time:1117ms, TrainError:0.060897175, TrainErrorChange:-0.027354773, TrainAccuracy: 0.9442308
Epoch:89, Time:1119ms, TrainError:0.07145085, TrainErrorChange:0.010553677, TrainAccuracy: 0.9057692
Epoch:90, Time:1110ms, TrainError:0.23099916, TrainErrorChange:0.15954831, TrainAccuracy: 0.9442308
Epoch:91, Time:1201ms, TrainError:0.070289664, TrainErrorChange:-0.1607095, TrainAccuracy: 0.9307692
Epoch:92, Time:1172ms, TrainError:0.12484443, TrainErrorChange:0.054554768, TrainAccuracy: 0.93653846
Epoch:93, Time:1097ms, TrainError:0.101505406, TrainErrorChange:-0.023339026, TrainAccuracy: 0.9326923
Epoch:94, Time:1107ms, TrainError:0.15327206, TrainErrorChange:0.051766656, TrainAccuracy: 0.93846154
Epoch:95, Time:1100ms, TrainError:0.047153987, TrainErrorChange:-0.106118076, TrainAccuracy: 0.93846154
Epoch:96, Time:1131ms, TrainError:0.039284416, TrainErrorChange:-0.007869571, TrainAccuracy: 0.95576924
Epoch:97, Time:1116ms, TrainError:0.026129585, TrainErrorChange:-0.013154831, TrainAccuracy: 0.95961535

TRAINING COMPLETED
Total Training Time: 174710ms
------------------------------------------------------------------------
Loaded 2 labels
Loaded 310 images
------------------------------------------------------------------------------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------------------------------------------------------------------------------
Epoch:1, Time:1439ms, TrainError:0.7257054, TrainErrorChange:0.7257054, TrainAccuracy: 0.7774193
Epoch:2, Time:1350ms, TrainError:0.70183593, TrainErrorChange:-0.023869455, TrainAccuracy: 0.8016129
Epoch:3, Time:1438ms, TrainError:0.6930822, TrainErrorChange:-0.008753717, TrainAccuracy: 0.8145161
Epoch:4, Time:1344ms, TrainError:0.6780832, TrainErrorChange:-0.014999032, TrainAccuracy: 0.8306452
Epoch:5, Time:1348ms, TrainError:0.66177404, TrainErrorChange:-0.016309142, TrainAccuracy: 0.82741934
Epoch:6, Time:1314ms, TrainError:0.6452022, TrainErrorChange:-0.01657182, TrainAccuracy: 0.833871
Epoch:7, Time:1313ms, TrainError:0.62890893, TrainErrorChange:-0.016293287, TrainAccuracy: 0.8435484
Epoch:8, Time:1313ms, TrainError:0.6110187, TrainErrorChange:-0.017890215, TrainAccuracy: 0.85645163
Epoch:9, Time:1313ms, TrainError:0.5899835, TrainErrorChange:-0.021035194, TrainAccuracy: 0.87096775
Epoch:10, Time:1315ms, TrainError:0.56714725, TrainErrorChange:-0.022836268, TrainAccuracy: 0.88225806
Epoch:11, Time:1319ms, TrainError:0.5480519, TrainErrorChange:-0.019095361, TrainAccuracy: 0.88870966
Epoch:12, Time:1318ms, TrainError:0.5275295, TrainErrorChange:-0.020522416, TrainAccuracy: 0.9032258
Epoch:13, Time:1315ms, TrainError:0.5052894, TrainErrorChange:-0.022240102, TrainAccuracy: 0.8983871
Epoch:14, Time:1338ms, TrainError:0.4838272, TrainErrorChange:-0.021462172, TrainAccuracy: 0.9048387
Epoch:15, Time:1357ms, TrainError:0.47442523, TrainErrorChange:-0.009401977, TrainAccuracy: 0.9096774
Epoch:16, Time:1318ms, TrainError:0.4610493, TrainErrorChange:-0.013375938, TrainAccuracy: 0.9096774
Epoch:17, Time:1322ms, TrainError:0.4483413, TrainErrorChange:-0.0127079785, TrainAccuracy: 0.8983871
Epoch:18, Time:1350ms, TrainError:0.44761792, TrainErrorChange:-7.233918E-4, TrainAccuracy: 0.85967743
Epoch:19, Time:1304ms, TrainError:0.42030653, TrainErrorChange:-0.027311385, TrainAccuracy: 0.89032257
Epoch:20, Time:1466ms, TrainError:0.4087186, TrainErrorChange:-0.011587948, TrainAccuracy: 0.88064516
Epoch:21, Time:1314ms, TrainError:0.39886844, TrainErrorChange:-0.009850144, TrainAccuracy: 0.87580645
Epoch:22, Time:1309ms, TrainError:0.36224, TrainErrorChange:-0.036628455, TrainAccuracy: 0.8354839
Epoch:23, Time:1301ms, TrainError:0.33815375, TrainErrorChange:-0.024086237, TrainAccuracy: 0.8419355
Epoch:24, Time:1306ms, TrainError:0.3621628, TrainErrorChange:0.024009049, TrainAccuracy: 0.87903225
Epoch:25, Time:1301ms, TrainError:0.32061055, TrainErrorChange:-0.041552246, TrainAccuracy: 0.9
Epoch:26, Time:1303ms, TrainError:0.350358, TrainErrorChange:0.029747456, TrainAccuracy: 0.9193548
Epoch:27, Time:1300ms, TrainError:0.3232182, TrainErrorChange:-0.027139813, TrainAccuracy: 0.92580646
Epoch:28, Time:1302ms, TrainError:0.30833876, TrainErrorChange:-0.014879435, TrainAccuracy: 0.87580645
Epoch:29, Time:1302ms, TrainError:0.304817, TrainErrorChange:-0.0035217702, TrainAccuracy: 0.8306452
Epoch:30, Time:1342ms, TrainError:0.3627643, TrainErrorChange:0.057947308, TrainAccuracy: 0.9096774
Epoch:31, Time:1331ms, TrainError:0.3627279, TrainErrorChange:-3.6388636E-5, TrainAccuracy: 0.8983871
Epoch:32, Time:1305ms, TrainError:0.28569746, TrainErrorChange:-0.07703045, TrainAccuracy: 0.9129032
Epoch:33, Time:1316ms, TrainError:0.2611032, TrainErrorChange:-0.024594247, TrainAccuracy: 0.92903227
Epoch:34, Time:1349ms, TrainError:0.26122335, TrainErrorChange:1.2013316E-4, TrainAccuracy: 0.9193548
Epoch:35, Time:1311ms, TrainError:0.21957648, TrainErrorChange:-0.041646868, TrainAccuracy: 0.92258066
Epoch:36, Time:1303ms, TrainError:0.24451163, TrainErrorChange:0.024935156, TrainAccuracy: 0.9112903
Epoch:37, Time:1300ms, TrainError:0.22346996, TrainErrorChange:-0.021041676, TrainAccuracy: 0.9177419
Epoch:38, Time:1305ms, TrainError:0.2320585, TrainErrorChange:0.008588538, TrainAccuracy: 0.9032258
Epoch:39, Time:1306ms, TrainError:0.27304533, TrainErrorChange:0.040986836, TrainAccuracy: 0.9193548
Epoch:40, Time:1305ms, TrainError:0.28558666, TrainErrorChange:0.012541324, TrainAccuracy: 0.9435484
Epoch:41, Time:1302ms, TrainError:0.2590645, TrainErrorChange:-0.02652216, TrainAccuracy: 0.933871
Epoch:42, Time:1300ms, TrainError:0.29394826, TrainErrorChange:0.034883767, TrainAccuracy: 0.8548387
Epoch:43, Time:1298ms, TrainError:0.29543322, TrainErrorChange:0.0014849603, TrainAccuracy: 0.86451614
Epoch:44, Time:1297ms, TrainError:0.26888004, TrainErrorChange:-0.026553184, TrainAccuracy: 0.8983871
Epoch:45, Time:1298ms, TrainError:0.36454588, TrainErrorChange:0.09566584, TrainAccuracy: 0.92741936
Epoch:46, Time:1297ms, TrainError:0.2444486, TrainErrorChange:-0.12009728, TrainAccuracy: 0.9435484
Epoch:47, Time:1298ms, TrainError:0.29823503, TrainErrorChange:0.053786427, TrainAccuracy: 0.9096774
Epoch:48, Time:1297ms, TrainError:0.24653806, TrainErrorChange:-0.05169697, TrainAccuracy: 0.92903227
Epoch:49, Time:1297ms, TrainError:0.21823661, TrainErrorChange:-0.028301448, TrainAccuracy: 0.92903227
Epoch:50, Time:1297ms, TrainError:0.2761481, TrainErrorChange:0.0579115, TrainAccuracy: 0.92258066
Epoch:51, Time:1296ms, TrainError:0.19085073, TrainErrorChange:-0.085297376, TrainAccuracy: 0.9354839
